name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
setexit3.sno	OK	OK	NO_ORACLE			
setexit4.sno	OK	OK	NO_ORACLE			
setexit5.sno	ERR	OK	NO_ORACLE	rc=1 setexit5.sno(18) : ERROR 014 -- division caused integer overflow		
setexit6.sno	ERR	ERR	NO_ORACLE	rc=1 setexit6.sno(13) : ERROR 014 -- division caused integer overflow	rc=1 cont: setexit6.sno:13 Error in arithmetic operation S8	
setexit7.sno	OK	OK	NO_ORACLE			
setexit.sno	ERR	ERR	NO_ORACLE	rc=1 setexit.sno(5) : ERROR 014 -- division caused integer overflow	rc=1 cont: setexit.sno:5 Error in arithmetic operation S4	
sleep.sno	ERR	ERR	NO_ORACLE	rc=1 sleep.sno(1,10) : ERROR 285 -- include file cannot be opened	rc=1 sleep.sno:1: Error 30 in statement 0 at level 0	
space2.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
space.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
spit.sno	OK	OK	NO_ORACLE			
str.sno	OK	OK	NO_ORACLE			
substr.sno	OK	OK	NO_ORACLE			
sudoku.sno	OK	OK	NO_ORACLE			
tab.sno	OK	ERR	NO_ORACLE		rc=1 tab.sno:18: Error 3 in statement 14 at level 0	
time.sno	ERR	ERR	NO_ORACLE	rc=1 time.sno(1,10) : ERROR 285 -- include file cannot be opened	rc=1 time.sno:1: Error 30 in statement 0 at level 0	
trace1.sno	OK	OK	NO_ORACLE			
trace2.sno	OK	OK	NO_ORACLE			
trfunc.sno	OK	OK	NO_ORACLE			
trim0.sno	OK	OK	NO_ORACLE			
trim1.sno	OK	OK	NO_ORACLE			
t.sno	OK	OK	NO_ORACLE			
uneval2.sno	OK	OK	NO_ORACLE			
uneval.sno	OK	OK	NO_ORACLE			
unsc.sno	OK	OK	NO_ORACLE			
update.sno	OK	OK	NO_ORACLE			
utf.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 utf.sno:217: Error 32 in statement 0 at level 0	
vdiffer.sno	OK	OK	NO_ORACLE			
words1.sno	OK	OK	NO_ORACLE			
words.sno	OK	OK	NO_ORACLE			
