rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
1,test1,spitbol_testpgms__test1,spitbol_testpgms,399,0,0,,
2,test2,spitbol_testpgms__test2,spitbol_testpgms,260,0,0,,
3,test3,spitbol_testpgms__test3,spitbol_testpgms,59,0,0,,
4,test4,spitbol_testpgms__test4,spitbol_testpgms,99,0,0,,
5,test5,spitbol_testpgms__test5,spitbol_testpgms,77,0,0,,
6,test6,spitbol_testpgms__test6,spitbol_testpgms,99,0,0,,
7,test7,spitbol_testpgms__test7,spitbol_testpgms,142,0,0,,
8,test8,spitbol_testpgms__test8,spitbol_testpgms,132,0,0,,
