rank,entry,origin,package,n_lines,stdin,want_rc,modes,heap_kb,stack_kb
336,iso7185prt1802,pat__iso7185prt1802,pat,31,0,0,"m3,m4",,
337,iso7185prt1803,pat__iso7185prt1803,pat,27,0,0,"m3,m4",,
338,iso7185prt1804,pat__iso7185prt1804,pat,24,0,0,"m3,m4",,
339,iso7185prt1805,pat__iso7185prt1805,pat,31,0,0,"m3,m4",,
340,iso7185prt1806,pat__iso7185prt1806,pat,39,0,0,"m3,m4",,
341,iso7185prt1807,pat__iso7185prt1807,pat,35,0,0,"m3,m4",,
342,iso7185prt1808,pat__iso7185prt1808,pat,28,0,0,"m3,m4",,
343,iso7185prt1809,pat__iso7185prt1809,pat,20,0,0,"m3,m4",,
344,iso7185prt1810,pat__iso7185prt1810,pat,25,0,0,"m3,m4",,
345,iso7185prt1811,pat__iso7185prt1811,pat,23,0,0,"m3,m4",,
346,iso7185prt1820,pat__iso7185prt1820,pat,37,0,0,"m3,m4",,
347,iso7185prt1821,pat__iso7185prt1821,pat,17,0,0,"m3,m4",,
348,iso7185prt1822,pat__iso7185prt1822,pat,17,0,0,"m3,m4",,
349,iso7185prt1823,pat__iso7185prt1823,pat,24,0,0,"m3,m4",,
350,iso7185prt1824,pat__iso7185prt1824,pat,16,0,0,"m3,m4",,
351,iso7185prt1825,pat__iso7185prt1825,pat,23,0,0,"m3,m4",,
352,iso7185prt1826,pat__iso7185prt1826,pat,16,0,0,"m3,m4",,
353,iso7185prt1827,pat__iso7185prt1827,pat,23,0,0,"m3,m4",,
354,iso7185prt1828,pat__iso7185prt1828,pat,21,0,0,"m3,m4",,
355,iso7185prt1829,pat__iso7185prt1829,pat,23,0,0,"m3,m4",,
356,iso7185prt1830,pat__iso7185prt1830,pat,23,0,0,"m3,m4",,
357,iso7185prt1831,pat__iso7185prt1831,pat,23,0,0,"m3,m4",,
358,iso7185prt1832,pat__iso7185prt1832,pat,23,0,0,"m3,m4",,
359,iso7185prt1833,pat__iso7185prt1833,pat,31,0,0,"m3,m4",,
360,iso7185prt1834,pat__iso7185prt1834,pat,20,0,0,"m3,m4",,
361,iso7185prt1835,pat__iso7185prt1835,pat,21,0,0,"m3,m4",,
362,iso7185prt1836,pat__iso7185prt1836,pat,20,0,0,"m3,m4",,
363,iso7185prt1837,pat__iso7185prt1837,pat,19,0,0,"m3,m4",,
364,iso7185prt1838,pat__iso7185prt1838,pat,12,0,0,"m3,m4",,
365,iso7185prt1839,pat__iso7185prt1839,pat,17,0,0,"m3,m4",,
366,iso7185prt1840,pat__iso7185prt1840,pat,17,0,0,"m3,m4",,
367,iso7185prt1841,pat__iso7185prt1841,pat,12,0,0,"m3,m4",,
368,iso7185prt1842,pat__iso7185prt1842,pat,22,0,0,"m3,m4",,
369,iso7185prt1843,pat__iso7185prt1843,pat,29,0,0,"m3,m4",,
370,iso7185prt1844,pat__iso7185prt1844,pat,29,0,0,"m3,m4",,
371,iso7185prt1845,pat__iso7185prt1845,pat,29,0,0,"m3,m4",,
372,iso7185prt1846,pat__iso7185prt1846,pat,12,0,0,"m3,m4",,
373,iso7185prt1847,pat__iso7185prt1847,pat,12,0,0,"m3,m4",,
374,iso7185prt1848,pat__iso7185prt1848,pat,29,0,0,"m3,m4",,
375,iso7185prt1849,pat__iso7185prt1849,pat,38,0,0,"m3,m4",,
376,iso7185prt1850,pat__iso7185prt1850,pat,17,0,0,"m3,m4",,
377,iso7185prt1851,pat__iso7185prt1851,pat,29,0,0,"m3,m4",,
378,iso7185prt1852,pat__iso7185prt1852,pat,18,0,0,"m3,m4",,
379,iso7185prt1853,pat__iso7185prt1853,pat,17,0,0,"m3,m4",,
380,iso7185prt1854,pat__iso7185prt1854,pat,25,0,0,"m3,m4",,
381,iso7185prt1855,pat__iso7185prt1855,pat,20,0,0,"m3,m4",,
382,iso7185prt1856,pat__iso7185prt1856,pat,18,0,0,"m3,m4",,
383,iso7185prt1857,pat__iso7185prt1857,pat,20,0,0,"m3,m4",,
384,iso7185prt1858,pat__iso7185prt1858,pat,17,0,0,"m3,m4",,
385,iso7185prt1859,pat__iso7185prt1859,pat,17,0,0,"m3,m4",,
386,iso7185prt1860,pat__iso7185prt1860,pat,16,0,0,"m3,m4",,
387,iso7185prt1861,pat__iso7185prt1861,pat,40,0,0,"m3,m4",,
388,iso7185prt1862,pat__iso7185prt1862,pat,35,0,0,"m3,m4",,
389,iso7185prt1863,pat__iso7185prt1863,pat,37,0,0,"m3,m4",,
390,iso7185prt1864,pat__iso7185prt1864,pat,31,0,0,"m3,m4",,
391,iso7185prt1865,pat__iso7185prt1865,pat,31,0,0,"m3,m4",,
392,iso7185prt1866,pat__iso7185prt1866,pat,33,0,0,"m3,m4",,
393,iso7185prt1867,pat__iso7185prt1867,pat,19,0,0,"m3,m4",,
394,iso7185prt1868,pat__iso7185prt1868,pat,19,0,0,"m3,m4",,
395,iso7185prt1869,pat__iso7185prt1869,pat,19,0,0,"m3,m4",,
396,iso7185prt1870,pat__iso7185prt1870,pat,19,0,0,"m3,m4",,
397,iso7185prt1871,pat__iso7185prt1871,pat,38,0,0,"m3,m4",,
398,iso7185prt1872,pat__iso7185prt1872,pat,38,0,0,"m3,m4",,
399,iso7185prt1873,pat__iso7185prt1873,pat,44,0,0,"m3,m4",,
400,iso7185prt1874,pat__iso7185prt1874,pat,33,0,0,"m3,m4",,
401,iso7185prt1875,pat__iso7185prt1875,pat,22,0,0,"m3,m4",,
402,iso7185prt1876,pat__iso7185prt1876,pat,20,0,0,"m3,m4",,
403,iso7185prt1877,pat__iso7185prt1877,pat,20,0,0,"m3,m4",,
404,iso7185prt1878,pat__iso7185prt1878,pat,20,0,0,"m3,m4",,
405,iso7185prt1879,pat__iso7185prt1879,pat,18,0,0,"m3,m4",,
406,iso7185prt1880,pat__iso7185prt1880,pat,17,0,0,"m3,m4",,
407,iso7185prt1881,pat__iso7185prt1881,pat,16,0,0,"m3,m4",,
408,iso7185prt1882,pat__iso7185prt1882,pat,16,0,0,"m3,m4",,
409,iso7185prt1900,pat__iso7185prt1900,pat,22,0,0,"m3,m4",,
410,iso7185prt1901,pat__iso7185prt1901,pat,19,0,0,"m3,m4",,
411,iso7185prt1902,pat__iso7185prt1902,pat,26,0,0,"m3,m4",,
412,iso7185prt1903,pat__iso7185prt1903,pat,27,0,0,"m3,m4",,
413,iso7185prt1904,pat__iso7185prt1904,pat,22,0,0,"m3,m4",,
414,iso7185prt1905,pat__iso7185prt1905,pat,24,0,0,"m3,m4",,
415,iso7185prt1906,pat__iso7185prt1906,pat,23,0,0,"m3,m4",,
416,iso7185prt1907a,pat__iso7185prt1907a,pat,19,0,0,"m3,m4",,
417,iso7185prt1907b,pat__iso7185prt1907b,pat,19,0,0,"m3,m4",,
418,iso7185prt1908,pat__iso7185prt1908,pat,23,0,0,"m3,m4",,
419,iso7185prt1909,pat__iso7185prt1909,pat,21,0,0,"m3,m4",,
420,iso7185prt1911,pat__iso7185prt1911,pat,16,0,0,"m3,m4",,
421,iso7185prt1912,pat__iso7185prt1912,pat,16,0,0,"m3,m4",,
422,iso7185prt1913,pat__iso7185prt1913,pat,13,0,0,"m3,m4",,
423,iso7185prt1914,pat__iso7185prt1914,pat,14,0,0,"m3,m4",,
424,iso7185prt1915,pat__iso7185prt1915,pat,28,0,0,"m3,m4",,
425,iso7185prt1916,pat__iso7185prt1916,pat,18,0,0,"m3,m4",,
426,iso7185prt1917,pat__iso7185prt1917,pat,28,0,0,"m3,m4",,
427,iso7185prt1918,pat__iso7185prt1918,pat,27,0,0,"m3,m4",,
