rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
63,gimpel-insulate-anchor,snoflake_suite__gimpel-insulate-anchor,snoflake_suite,20,0,0,131072,4096
64,gimpel-l-one-compiler,snoflake_suite__gimpel-l-one-compiler,snoflake_suite,55,0,0,131072,4096
65,gimpel-l-two-compiler,snoflake_suite__gimpel-l-two-compiler,snoflake_suite,58,0,0,131072,4096
66,gimpel-line-output,snoflake_suite__gimpel-line-output,snoflake_suite,29,0,0,131072,4096
67,gimpel-linked-list-functions,snoflake_suite__gimpel-linked-list-functions,snoflake_suite,31,0,0,131072,4096
68,gimpel-merge-tournament-sort-variants,snoflake_suite__gimpel-merge-tournament-sort-variants,snoflake_suite,77,0,0,131072,4096
69,gimpel-mfread-multi-file,snoflake_suite__gimpel-mfread-multi-file,snoflake_suite,28,0,0,131072,4096
70,gimpel-numeric-random-functions,snoflake_suite__gimpel-numeric-random-functions,snoflake_suite,27,0,0,131072,4096
71,gimpel-oneway-cipher,snoflake_suite__gimpel-oneway-cipher,snoflake_suite,18,0,0,131072,4096
72,gimpel-paragraph-reader,snoflake_suite__gimpel-paragraph-reader,snoflake_suite,25,0,0,131072,4096
73,gimpel-pattern-functions,snoflake_suite__gimpel-pattern-functions,snoflake_suite,45,0,0,131072,4096
74,gimpel-permutation-functions,snoflake_suite__gimpel-permutation-functions,snoflake_suite,45,0,0,131072,4096
75,gimpel-physical-quantities,snoflake_suite__gimpel-physical-quantities,snoflake_suite,23,0,0,131072,4096
76,gimpel-poker-game,snoflake_suite__gimpel-poker-game,snoflake_suite,154,0,0,131072,4096
77,gimpel-print-width-functions,snoflake_suite__gimpel-print-width-functions,snoflake_suite,18,0,0,131072,4096
78,gimpel-random-poem,snoflake_suite__gimpel-random-poem,snoflake_suite,56,0,0,131072,4096
79,gimpel-random-story,snoflake_suite__gimpel-random-story,snoflake_suite,139,0,0,131072,4096
80,gimpel-random-string-functions,snoflake_suite__gimpel-random-string-functions,snoflake_suite,28,0,0,131072,4096
81,gimpel-read-list-functions,snoflake_suite__gimpel-read-list-functions,snoflake_suite,28,0,0,131072,4096
82,gimpel-real-math-functions,snoflake_suite__gimpel-real-math-functions,snoflake_suite,31,0,0,131072,4096
83,gimpel-rseason-baseball,snoflake_suite__gimpel-rseason-baseball,snoflake_suite,41,0,0,131072,4096
84,gimpel-snobol-statement-reader,snoflake_suite__gimpel-snobol-statement-reader,snoflake_suite,23,0,0,131072,4096
85,gimpel-sorting-functions,snoflake_suite__gimpel-sorting-functions,snoflake_suite,28,0,0,131072,4096
86,gimpel-stack-field-functions,snoflake_suite__gimpel-stack-field-functions,snoflake_suite,24,0,0,131072,4096
87,gimpel-state-functions,snoflake_suite__gimpel-state-functions,snoflake_suite,17,0,0,131072,4096
88,gimpel-stone-game,snoflake_suite__gimpel-stone-game,snoflake_suite,92,0,0,131072,4096
89,gimpel-test-pattern-predicate,snoflake_suite__gimpel-test-pattern-predicate,snoflake_suite,22,0,0,131072,4096
90,gimpel-tictactoe-functions,snoflake_suite__gimpel-tictactoe-functions,snoflake_suite,29,0,0,131072,4096
91,gimpel-tree-pattern,snoflake_suite__gimpel-tree-pattern,snoflake_suite,20,0,0,131072,4096
92,gimpel-tree-reader,snoflake_suite__gimpel-tree-reader,snoflake_suite,16,0,0,131072,4096
93,gimpel-visit-structure-functions,snoflake_suite__gimpel-visit-structure-functions,snoflake_suite,37,0,0,131072,4096
94,hexadecimal-to-decimal,snoflake_suite__hexadecimal-to-decimal,snoflake_suite,21,0,0,131072,4096
95,hoare-quicksort,snoflake_suite__hoare-quicksort,snoflake_suite,112,0,0,131072,4096
96,immediate-vs-conditional-assignment,snoflake_suite__immediate-vs-conditional-assignment,snoflake_suite,13,0,0,131072,4096
97,indirect-integer-and-keyword,snoflake_suite__indirect-integer-and-keyword,snoflake_suite,15,0,0,131072,4096
98,indirect-real-illegal-type,snoflake_suite__indirect-real-illegal-type,snoflake_suite,5,0,0,131072,4096
99,indirect-reference,snoflake_suite__indirect-reference,snoflake_suite,9,0,0,131072,4096
100,infix-to-polish,snoflake_suite__infix-to-polish,snoflake_suite,29,0,0,131072,4096
101,input-echo,snoflake_suite__input-echo,snoflake_suite,13,0,0,131072,4096
102,input-factorial-validation,snoflake_suite__input-factorial-validation,snoflake_suite,25,0,0,131072,4096
103,input-output-streams,snoflake_suite__input-output-streams,snoflake_suite,14,0,0,131072,4096
104,integer-arithmetic,snoflake_suite__integer-arithmetic,snoflake_suite,25,0,0,131072,4096
105,integer-negative-exponent,snoflake_suite__integer-negative-exponent,snoflake_suite,11,0,0,131072,4096
106,invalid-assembly-labels,snoflake_suite__invalid-assembly-labels,snoflake_suite,22,0,0,131072,4096
107,isogram,snoflake_suite__isogram,snoflake_suite,95,0,0,131072,4096
108,kalah-opening-search,snoflake_suite__kalah-opening-search,snoflake_suite,918,0,0,131072,4096
109,keywords-and-code,snoflake_suite__keywords-and-code,snoflake_suite,9,0,0,131072,4096
110,leadering-replacement,snoflake_suite__leadering-replacement,snoflake_suite,38,0,0,131072,4096
111,letter-count,snoflake_suite__letter-count,snoflake_suite,52,0,0,131072,4096
112,letter-counter,snoflake_suite__letter-counter,snoflake_suite,27,0,0,131072,4096
113,lexical-comparison,snoflake_suite__lexical-comparison,snoflake_suite,99,0,0,131072,4096
114,lgt-alphabetize,snoflake_suite__lgt-alphabetize,snoflake_suite,17,0,0,131072,4096
115,linked-list,snoflake_suite__linked-list,snoflake_suite,10,0,0,131072,4096
116,load-failure-graceful,snoflake_suite__load-failure-graceful,snoflake_suite,21,0,0,131072,4096
117,longest-substring,snoflake_suite__longest-substring,snoflake_suite,18,0,0,131072,4096
118,lowercase-indirect-and-apply,snoflake_suite__lowercase-indirect-and-apply,snoflake_suite,17,0,0,131072,4096
119,math-functions,snoflake_suite__math-functions,snoflake_suite,33,0,0,131072,4096
120,multiline-backtick-load,snoflake_suite__multiline-backtick-load,snoflake_suite,19,0,0,131072,4096
121,n-queens,snoflake_suite__n-queens,snoflake_suite,87,0,0,131072,4096
122,name-operator,snoflake_suite__name-operator,snoflake_suite,12,0,0,131072,4096
123,named-substring-alternation,snoflake_suite__named-substring-alternation,snoflake_suite,10,0,0,131072,4096
124,nreturn,snoflake_suite__nreturn,snoflake_suite,13,0,0,131072,4096
125,numeric-comparison,snoflake_suite__numeric-comparison,snoflake_suite,9,0,0,131072,4096
126,numeric-keyword-values,snoflake_suite__numeric-keyword-values,snoflake_suite,9,0,0,131072,4096
127,numeric-keywords,snoflake_suite__numeric-keywords,snoflake_suite,14,0,0,131072,4096
128,opsyn-case-fold,snoflake_suite__opsyn-case-fold,snoflake_suite,10,0,0,131072,4096
129,optional-signed-integer,snoflake_suite__optional-signed-integer,snoflake_suite,9,0,0,131072,4096
130,output-format-ignored,snoflake_suite__output-format-ignored,snoflake_suite,11,0,0,131072,4096
131,pattern-assignment-targets,snoflake_suite__pattern-assignment-targets,snoflake_suite,24,0,0,131072,4096
132,polish-to-infix,snoflake_suite__polish-to-infix,snoflake_suite,12,0,0,131072,4096
133,predicates,snoflake_suite__predicates,snoflake_suite,34,0,0,131072,4096
134,primitive-patterns,snoflake_suite__primitive-patterns,snoflake_suite,23,0,0,131072,4096
135,programmer-defined-functions,snoflake_suite__programmer-defined-functions,snoflake_suite,19,0,0,131072,4096
136,punctuation-counter,snoflake_suite__punctuation-counter,snoflake_suite,24,0,0,131072,4096
137,real-literal-out-of-range,snoflake_suite__real-literal-out-of-range,snoflake_suite,9,0,0,131072,4096
138,real-overflow-recoverable,snoflake_suite__real-overflow-recoverable,snoflake_suite,22,0,0,131072,4096
139,real-to-integer-coercion,snoflake_suite__real-to-integer-coercion,snoflake_suite,20,0,0,131072,4096
140,recursive-balanced-pattern,snoflake_suite__recursive-balanced-pattern,snoflake_suite,41,0,0,131072,4096
141,recursive-binary-conversion,snoflake_suite__recursive-binary-conversion,snoflake_suite,21,0,0,131072,4096
142,recursive-expression-recognizer,snoflake_suite__recursive-expression-recognizer,snoflake_suite,24,0,0,131072,4096
143,recursive-yz-pattern,snoflake_suite__recursive-yz-pattern,snoflake_suite,17,0,0,131072,4096
144,replacement-substitution-cipher,snoflake_suite__replacement-substitution-cipher,snoflake_suite,16,0,0,131072,4096
145,reverse-input-array,snoflake_suite__reverse-input-array,snoflake_suite,25,0,0,131072,4096
146,scanner-behavior,snoflake_suite__scanner-behavior,snoflake_suite,17,0,0,131072,4096
147,special-patterns,snoflake_suite__special-patterns,snoflake_suite,20,0,0,131072,4096
148,square-array-pattern,snoflake_suite__square-array-pattern,snoflake_suite,11,0,0,131072,4096
149,stack-opsyn,snoflake_suite__stack-opsyn,snoflake_suite,28,0,0,131072,4096
150,statements,snoflake_suite__statements,snoflake_suite,13,0,0,131072,4096
151,stlimit-host-option,snoflake_suite__stlimit-host-option,snoflake_suite,10,0,0,131072,4096
152,stlimit-negative-stcount,snoflake_suite__stlimit-negative-stcount,snoflake_suite,12,0,0,131072,4096
153,stlimit-nonnegative,snoflake_suite__stlimit-nonnegative,snoflake_suite,7,0,0,131072,4096
154,stop-tracing,snoflake_suite__stop-tracing,snoflake_suite,25,0,0,131072,4096
155,string-functions,snoflake_suite__string-functions,snoflake_suite,15,0,0,131072,4096
156,string-pad,snoflake_suite__string-pad,snoflake_suite,11,0,0,131072,4096
157,string-reverse,snoflake_suite__string-reverse,snoflake_suite,11,0,0,131072,4096
158,string-substr,snoflake_suite__string-substr,snoflake_suite,92,0,0,131072,4096
159,strings-and-variables,snoflake_suite__strings-and-variables,snoflake_suite,31,0,0,131072,4096
160,succeed-rematch,snoflake_suite__succeed-rematch,snoflake_suite,12,0,0,131072,4096
161,syntactic-recognizer,snoflake_suite__syntactic-recognizer,snoflake_suite,123,0,0,131072,4096
162,topological-sort,snoflake_suite__topological-sort,snoflake_suite,64,0,0,131072,4096
163,tower-of-hanoi,snoflake_suite__tower-of-hanoi,snoflake_suite,18,0,0,131072,4096
