rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
66,S02-lexical-conventions/sub-block-parsing,roast__S02-lexical-conventions/sub-block-parsing,roast,81,0,0,,
67,S02-lexical-conventions/unicode-whitespace,roast__S02-lexical-conventions/unicode-whitespace,roast,158,0,0,,
68,S02-lexical-conventions/unicode,roast__S02-lexical-conventions/unicode,roast,140,0,0,,
69,S02-lexical-conventions/unspace,roast__S02-lexical-conventions/unspace,roast,367,0,0,,
70,S02-lists/indexing,roast__S02-lists/indexing,roast,20,0,0,,
71,S02-lists/tree,roast__S02-lists/tree,roast,49,0,0,,
72,S02-literals/adverbs,roast__S02-literals/adverbs,roast,87,0,0,,
73,S02-literals/allomorphic,roast__S02-literals/allomorphic,roast,475,0,0,,
74,S02-literals/array-interpolation,roast__S02-literals/array-interpolation,roast,55,0,0,,
75,S02-literals/autoref,roast__S02-literals/autoref,roast,194,0,0,,
76,S02-literals/char-by-name,roast__S02-literals/char-by-name,roast,29,0,0,,
77,S02-literals/char-by-number,roast__S02-literals/char-by-number,roast,82,0,0,,
78,S02-literals/fmt-interpolation,roast__S02-literals/fmt-interpolation,roast,60,0,0,,
79,S02-literals/format,roast__S02-literals/format,roast,44,0,0,,
80,S02-literals/hash-interpolation,roast__S02-literals/hash-interpolation,roast,53,0,0,,
81,S02-literals/heredocs,roast__S02-literals/heredocs,roast,355,0,0,,
82,S02-literals/hex_chars,roast__S02-literals/hex_chars,roast,24,0,0,,
83,S02-literals/listquote-whitespace,roast__S02-literals/listquote-whitespace,roast,65,0,0,,
84,S02-literals/listquote,roast__S02-literals/listquote,roast,101,0,0,,
85,S02-literals/misc-interpolation,roast__S02-literals/misc-interpolation,roast,126,0,0,,
86,S02-literals/numeric,roast__S02-literals/numeric,roast,157,0,0,,
87,S02-literals/pair-boolean,roast__S02-literals/pair-boolean,roast,32,0,0,,
88,S02-literals/pairs,roast__S02-literals/pairs,roast,198,0,0,,
89,S02-literals/pod,roast__S02-literals/pod,roast,64,0,0,,
90,S02-literals/quoting-unicode,roast__S02-literals/quoting-unicode,roast,170,0,0,,
91,S02-literals/quoting,roast__S02-literals/quoting,roast,765,0,0,,
92,S02-literals/radix,roast__S02-literals/radix,roast,357,0,0,,
93,S02-literals/string-interpolation,roast__S02-literals/string-interpolation,roast,155,0,0,,
94,S02-literals/sub-calls,roast__S02-literals/sub-calls,roast,68,0,0,,
95,S02-literals/subscript,roast__S02-literals/subscript,roast,17,0,0,,
96,S02-literals/types,roast__S02-literals/types,roast,40,0,0,,
97,S02-literals/underscores,roast__S02-literals/underscores,roast,76,0,0,,
98,S02-literals/version,roast__S02-literals/version,roast,43,0,0,,
99,S02-magicals/78258,roast__S02-magicals/78258,roast,5,0,0,,
100,S02-magicals/DISTRO,roast__S02-magicals/DISTRO,roast,61,0,0,,
101,S02-magicals/GROUP,roast__S02-magicals/GROUP,roast,11,0,0,,
102,S02-magicals/KERNEL,roast__S02-magicals/KERNEL,roast,82,0,0,,
103,S02-magicals/PERL,roast__S02-magicals/PERL,roast,83,0,0,,
104,S02-magicals/RAKU,roast__S02-magicals/RAKU,roast,89,0,0,,
105,S02-magicals/USER,roast__S02-magicals/USER,roast,11,0,0,,
106,S02-magicals/VM,roast__S02-magicals/VM,roast,66,0,0,,
107,S02-magicals/args,roast__S02-magicals/args,roast,33,0,0,,
108,S02-magicals/block,roast__S02-magicals/block,roast,36,0,0,,
109,S02-magicals/dollar-underscore,roast__S02-magicals/dollar-underscore,roast,133,0,0,,
110,S02-magicals/dollar_bang,roast__S02-magicals/dollar_bang,roast,69,0,0,,
111,S02-magicals/env,roast__S02-magicals/env,roast,115,0,0,,
112,S02-magicals/file_line,roast__S02-magicals/file_line,roast,14,0,0,,
113,S02-magicals/pid,roast__S02-magicals/pid,roast,24,0,0,,
114,S02-magicals/progname,roast__S02-magicals/progname,roast,28,0,0,,
115,S02-magicals/sub,roast__S02-magicals/sub,roast,85,0,0,,
116,S02-magicals/subname,roast__S02-magicals/subname,roast,26,0,0,,
117,S02-names-vars/contextual,roast__S02-names-vars/contextual,roast,87,0,0,,
118,S02-names-vars/fmt,roast__S02-names-vars/fmt,roast,91,0,0,,
119,S02-names-vars/list_array_perl,roast__S02-names-vars/list_array_perl,roast,110,0,0,,
120,S02-names-vars/names,roast__S02-names-vars/names,roast,193,0,0,,
121,S02-names-vars/perl,roast__S02-names-vars/perl,roast,226,0,0,,
122,S02-names-vars/signature,roast__S02-names-vars/signature,roast,86,0,0,,
123,S02-names-vars/variables-and-packages,roast__S02-names-vars/variables-and-packages,roast,191,0,0,,
124,S02-names-vars/varnames,roast__S02-names-vars/varnames,roast,70,0,0,,
