name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
OR.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 OR.sno:115: Error 32 in statement 0 at level 0	
ORSORT_driver.sno	OK	OK	NO_ORACLE			
ORSORT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ORSORT.sno:37: Error 32 in statement 0 at level 0	
ORVISUAL_driver.sno	OK	OK	NO_ORACLE			
ORVISUAL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ORVISUAL.sno:69: Error 32 in statement 0 at level 0	
PAD_driver.sno	OK	OK	NO_ORACLE			
PAD.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PAD.sno:27: Error 32 in statement 0 at level 0	
PARAGRAP_driver.sno	OK	OK	NO_ORACLE			
PARAGRAP.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PARAGRAP.sno:17: Error 32 in statement 0 at level 0	
PEEL_driver.sno	OK	OK	NO_ORACLE			
PEEL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PEEL.sno:18: Error 32 in statement 0 at level 0	
PERM_driver.sno	OK	OK	NO_ORACLE			
PERMS_driver.sno	OK	OK	NO_ORACLE			
PERM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PERM.sno:29: Error 32 in statement 0 at level 0	
PERMS.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PERMS.sno:27: Error 32 in statement 0 at level 0	
PERMUTAT_driver.sno	OK	OK	NO_ORACLE			
PERMUTAT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PERMUTAT.sno:13: Error 32 in statement 0 at level 0	
PHRASE_driver.sno	OK	TIMEOUT	NO_ORACLE			
PHRASE.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 PHRASE.sno:9: Error 32 in statement 0 at level 0	
PHRASES.sno	ERR	ERR	NO_ORACLE	rc=231 PHRASES.sno(1) : ERROR 214 -- bad label or misplaced continuation line	rc=1 ERRORS DETECTED IN SOURCE PROGRAM	
PHYSICAL_driver.sno	OK	ERR	NO_ORACLE		rc=1 PHYSICAL.sno:14: Error 21 in statement 28 at level 210	
